sequence,HVU1_급기_온도,R_HVU1_급기_온도,HVU1_혼합_온도,R_HVU1_혼합_온도,외기온도,R_외기온도,HVU1_급기_습도,R_HVU1_급기_습도,HVU1_환기_온도,R_HVU1_환기_온도
556,16.04732132,17,27.2402401,28,29.08400726,30,33.22689056,31,28.10844994,27
557,15.16893387,16,29.24279213,31,24.11323547,25,32.41537476,30,30.76512146,30
558,14.0733614,15,30.16913605,31,24.11275291,25,34.04014969,32,32.21263123,33
559,12.7426424,13,27.28746223,28,27.08532715,28,31.60784721,29,28.10844994,28
560,14.19022751,15,29.512043,31,23.43341446,25,32.41537476,30,28.10844994,28
561,15.16893387,16,28.83771896,31,31.94136429,32,32.41537476,29,31.70436478,32
562,15.15081596,16,27.9526825,29,25.09604454,26,30.80625725,28,29.11415291,29
563,13.44873524,14,25.90903282,27,25.09598541,26,33.22689438,31,29.82591248,30
564,12.7710247,13,27.90828705,29,28.08455658,29,32.41574097,30,31.46012306,32
565,15.16893387,16,25.90903282,27,26.03961563,27,32.41537476,30,29.78614998,30
566,13.44534779,14,26.91592598,28,29.07185173,31,32.41537476,30,30.72167969,31
567,14.27270222,15,27.90828705,29,32.89977646,34,31.61517143,29,28.10844994,28
568,14.26578236,15,26.91592598,28,23.44241142,24,31.60776711,29,32.41288757,33
569,13.45693874,15,29.84574127,32,29.08517838,31,31.60710716,29,32.26696014,33
570,12.78355026,13,28.3149395,30,29.07346725,30,32.41537476,30,30.96293259,31
571,14.32508945,15,31.70544434,33,35.26630402,37,32.41537476,30,32.13598251,33
572,14.39002895,15,29.00961876,31,30.98025894,32,32.41537476,30,28.32637215,28
573,15.16893387,16,26.31278038,27,26.08852768,27,32.41538239,30,28.04719925,29
574,15.16893387,16,26.23134041,27,34.62749863,36,30.80615616,28,29.04059029,29
575,14.26578236,15,27.30367851,29,28.08147049,29,30.80615616,28,32.23513031,33
576,16.16420746,17,28.92942047,30,28.08147049,29,32.41537476,30,32.19150162,34
577,15.16893387,16,26.91592598,28,30.05066299,32,31.60784721,29,28.10844994,28
578,14.26578236,15,26.91592598,29,31.03746033,31,34.04014969,32,28.14137077,28
579,12.75897884,13,26.91592598,28,30.08023453,31,32.41537476,31,28.95992661,29
580,15.22448349,17,26.91592598,28,32.88672638,34,30.80615616,28,29.92722702,30
581,14.13101006,16,27.90828705,29,26.08852768,27,32.41537476,30,28.06197929,28
582,16.16420746,18,27.90828705,29,31.02283859,31,31.60776711,29,29.05214882,29
583,13.43910027,14,26.01783562,27,25.09598541,26,33.22689056,31,33.59420013,34
584,14.26578236,15,27.79138565,30,31.96272659,34,31.60776711,29,28.12160492,28
585,16.16420746,17,30.74065208,32,36.21869278,36,32.41537476,30,28.10844994,28
586,16.16420746,17,27.71813202,30,27.08532715,28,32.41537476,30,28.22049713,28
587,15.16893387,16,25.90903282,27,33.9448967,35,30.80615616,28,30.78084755,31
588,13.44873524,14,27.49661064,29,26.08852768,28,32.41537476,30,30.76512146,31
589,15.16893387,16,26.91592598,28,29.07346725,30,30.80695534,28,28.04719925,28
590,15.03210926,16,28.88544846,29,25.09619522,26,31.60776711,29,27.34418106,27
591,14.27542019,16,26.91592598,28,24.11297989,25,30.80865479,28,28.18946075,28
592,14.26578236,15,31.70544434,34,29.07216454,30,33.22689056,31,30.14453316,30
593,16.16420746,17,30.82920074,31,32.89131927,33,31.60848236,29,30.63609314,31
594,15.16893387,16,26.91592598,28,31.04372215,32,33.22689056,31,27.13483429,28
595,15.16893387,16,26.91592598,28,27.08685303,28,32.41537476,30,30.76512146,31
596,15.16893387,16,27.78002548,29,32.78708267,34,31.60776711,29,27.13483429,27
597,16.16420746,17,31.22519875,32,27.0830307,28,32.41537476,30,32.90171814,34
598,12.19871044,12,26.91592598,28,33.6496048,35,32.41574097,30,29.04059029,29
599,15.16893387,16,27.90828705,29,28.05905533,29,33.22689056,31,28.10844994,28
600,15.16184044,16,26.91592598,28,26.08901215,27,30.80615616,28,26.14112091,26
601,12.75641823,13,31.879179,33,25.09502602,25,32.41537476,30,29.04059029,29
602,16.01544762,17,29.79872322,31,26.08901215,27,31.60848236,29,29.93728828,30
603,14.06957817,16,29.512043,31,26.08797646,27,32.41537476,30,28.10844994,28
